customer_id,signup_date,tenure_months,age,region,plan,contract_type,monthly_charges,discount_pct,auto_pay,support_tickets,late_payments,usage_hours_month,satisfaction_score,last_login,total_charges,churn
CUST00026,2023-09-08,27,27,Central,Standard,Quarterly,994.26,0.0,Yes,1,1,30.1,3.9,2025-12-28 06:55:58.135083062,26280.98,No
CUST00027,2023-01-07,35,34,Central,Basic,Annual,747.52,0.0,No,2,0,29.3,2.7,2025-12-18 21:45:20.537580742,26444.73,No
CUST00028,2025-02-26,10,35,West,Standard,Annual,1127.16,0.0,No,3,1,34.1,3.6,2025-11-14 02:45:46.736509626,11513.55,Yes
CUST00029,2024-03-20,21,29,North,Standard,Monthly,1213.65,0.0,No,2,1,40.0,2.3,2025-12-28 02:12:05.140498087,26126.4,No
CUST00030,2023-02-14,34,35,North,Basic,Annual,797.0,0.05,Yes,3,1,16.6,2.2,2025-12-12 05:11:55.224610633,27181.94,No
CUST00031,2024-12-04,12,38,East,Basic,Monthly,771.46,0.0,Yes,5,0,24.7,2.9,2025-12-06 06:15:06.815600214,9694.2,No
CUST00032,2023-11-22,25,26,East,Basic,Annual,976.28,0.0,Yes,2,0,17.3,5.0,2025-12-15 23:53:04.801227611,24676.0,No
CUST00033,2025-04-04,8,46,North,Premium,Monthly,1912.64,0.05,Yes,3,0,30.1,3.2,2025-12-09 13:34:25.120530167,15189.21,No
CUST00034,2023-06-02,30,35,West,Standard,Annual,1272.44,0.05,Yes,1,0,12.7,3.1,2025-12-10 11:58:10.495356563,39275.89,No
CUST00035,2023-07-03,29,29,East,Standard,Monthly,1305.2,0.0,Yes,0,1,17.4,3.2,2025-12-17 03:37:37.496041876,37682.41,No
CUST00036,2023-04-23,32,31,North,Basic,Monthly,739.49,0.15,Yes,1,0,41.7,3.6,2025-12-30 00:00:00.000000000,23227.95,No
CUST00037,2025-02-02,10,45,West,Premium,Monthly,1678.54,0.0,Yes,4,0,38.2,4.1,2025-12-17 17:50:11.814014328,16503.34,No
CUST00038,2023-07-09,29,49,East,Basic,Annual,673.27,0.05,Yes,1,0,10.0,4.0,2025-12-09 14:35:04.002135983,20178.35,No
CUST00039,2023-10-18,26,28,North,Standard,Monthly,1286.98,0.05,No,1,0,13.6,3.3,2025-12-20 01:56:48.770662632,33375.1,No
CUST00040,2023-11-09,25,38,South,Basic,Monthly,526.63,0.0,Yes,4,1,25.6,4.2,2025-12-15 06:17:27.332640531,12786.72,No
CUST00041,2023-07-21,29,28,Central,Standard,Quarterly,1178.78,0.1,No,4,1,25.3,3.2,2025-12-09 20:04:51.772766328,34271.92,No
CUST00042,2024-04-07,20,24,North,Standard,Annual,1194.39,0.05,No,3,0,24.2,3.4,2025-11-30 08:30:23.700188178,23628.61,Yes
CUST00043,2024-07-04,17,33,Central,Basic,Annual,834.85,0.05,Yes,1,1,18.6,4.3,2025-12-27 08:34:09.933222029,13739.14,No
CUST00044,2025-02-11,10,38,Central,Standard,Monthly,1372.0,0.0,Yes,3,2,26.4,2.5,2025-12-25 12:10:25.590788815,12906.69,No
CUST00045,2024-05-09,19,53,South,Standard,Monthly,1342.88,0.0,Yes,2,0,35.8,3.9,2025-12-26 14:24:56.895322225,25723.69,No
CUST00046,2023-05-18,31,24,West,Basic,Monthly,620.09,0.05,No,0,1,55.7,4.4,2025-12-13 04:11:03.556614567,19733.44,No
CUST00047,2025-05-05,7,22,East,Basic,Monthly,650.01,0.0,Yes,3,1,7.3,2.5,2025-12-11 05:08:03.087074006,4769.21,No
CUST00048,2024-04-28,20,18,North,Premium,Annual,1933.35,0.0,Yes,3,1,9.0,3.2,2025-12-21 03:08:01.618520016,37024.44,No
CUST00049,2023-07-15,29,20,South,Premium,Monthly,1387.13,0.1,Yes,5,0,28.2,2.7,2025-12-13 12:58:06.422657160,39308.58,No
CUST00050,2023-03-14,33,40,East,Premium,Annual,1878.74,0.15,Yes,3,0,30.3,2.1,2025-12-26 20:50:57.621255133,62551.56,No
CUST00051,2025-05-01,8,39,North,Standard,Monthly,1248.1,0.1,Yes,0,1,27.1,3.6,2025-12-17 21:47:46.605139924,9755.39,No
CUST00052,2023-09-15,27,52,West,Standard,Monthly,1133.02,0.05,Yes,1,3,36.5,4.1,2025-12-08 09:38:36.894683608,31718.17,No
CUST00053,2024-12-05,12,43,East,Basic,Monthly,720.85,0.0,Yes,1,1,37.3,4.0,2025-12-21 07:59:51.900266766,8347.94,No
CUST00054,2024-02-05,22,32,Central,Premium,Annual,1971.89,0.05,No,1,2,28.8,2.8,2025-12-07 21:52:45.070293404,41758.99,No
CUST00055,2024-01-10,23,40,West,Premium,Annual,1963.0,0.0,Yes,3,0,51.3,3.8,2025-12-19 20:04:00.378538565,45271.75,No
CUST00056,2023-12-16,24,48,Central,Standard,Monthly,983.01,0.05,Yes,2,0,30.1,3.6,2025-12-14 22:13:16.258586929,24239.65,No
CUST00057,2024-08-27,16,18,North,Premium,Monthly,1706.84,0.0,Yes,2,2,33.5,2.3,2025-12-26 01:10:43.335037324,27268.12,No
CUST00058,2025-02-03,10,18,Central,Standard,Quarterly,1303.85,0.0,Yes,3,1,18.5,5.0,2025-12-19 04:21:02.047309656,13760.06,No
CUST00059,2024-08-06,16,37,South,Standard,Monthly,1373.86,0.0,Yes,2,0,29.3,3.3,2025-12-15 06:31:45.321945494,20611.8,No
CUST00060,2023-10-07,26,39,Central,Basic,Quarterly,624.56,0.0,No,1,0,42.8,4.3,2025-12-21 06:51:14.318486721,15873.55,No
CUST00061,2024-06-06,18,18,West,Standard,Monthly,1059.4,0.0,No,1,0,23.0,3.7,2025-12-06 07:33:50.163022178,18235.79,Yes
CUST00062,2025-01-15,11,29,Central,Standard,Quarterly,1014.74,0.05,Yes,4,0,37.1,4.2,2025-12-20 05:54:26.726691094,11613.25,No
CUST00063,2025-03-14,9,21,East,Basic,Monthly,622.42,0.0,Yes,1,0,10.7,2.6,2025-12-05 00:42:27.157406971,6176.31,Yes
CUST00064,2024-03-24,21,37,East,Standard,Monthly,1177.8,0.0,Yes,1,1,34.8,4.0,2025-12-25 01:58:57.777021365,24565.4,No
CUST00065,2023-11-14,25,48,Central,Basic,Annual,736.75,0.0,Yes,2,0,16.9,2.7,2025-12-05 04:53:32.260733947,18988.54,No
CUST00066,2024-01-27,23,43,North,Standard,Monthly,1187.36,0.0,No,0,1,29.3,3.5,2025-12-09 22:29:26.881804822,27532.53,No
CUST00067,2023-06-01,31,46,North,Basic,Monthly,752.25,0.1,Yes,4,0,35.8,1.5,2025-12-30 00:00:00.000000000,23970.61,No
CUST00068,2023-04-03,32,29,South,Standard,Annual,1173.82,0.0,No,5,1,44.4,2.5,2025-12-25 12:22:20.406963392,36785.91,No
CUST00069,2025-01-29,11,27,West,Standard,Monthly,1236.6,0.0,Yes,4,1,14.3,4.9,2025-12-12 21:53:53.617214015,14549.08,No
CUST00070,2023-08-13,28,44,North,Premium,Monthly,1852.35,0.0,Yes,2,0,31.7,4.9,2025-12-24 11:32:48.146774540,53489.82,No
CUST00071,2024-10-23,14,28,Central,Basic,Monthly,754.44,0.1,Yes,0,0,2.3,3.3,2025-12-30 00:00:00.000000000,11260.74,No
CUST00072,2023-12-23,24,35,West,Standard,Annual,1117.29,0.05,Yes,6,0,11.3,2.4,2025-12-24 12:44:13.034918386,26205.07,No
CUST00073,2024-04-26,20,40,South,Basic,Monthly,709.61,0.0,Yes,3,2,38.3,3.9,2025-12-29 03:26:42.413069323,14140.74,No
CUST00074,2024-08-02,16,23,North,Standard,Monthly,1235.08,0.0,No,3,2,33.0,3.7,2025-12-06 23:44:20.050681517,19266.54,No
CUST00075,2025-06-10,6,18,East,Basic,Quarterly,611.02,0.0,No,1,1,33.1,2.7,2025-11-19 11:31:10.446939757,4204.72,No
CUST00076,2023-08-08,28,46,Central,Basic,Monthly,868.26,0.0,Yes,5,2,32.4,2.8,2025-12-30 00:00:00.000000000,24657.9,No
CUST00077,2024-04-26,20,32,West,Standard,Quarterly,938.34,0.0,Yes,3,0,31.0,3.4,2025-12-10 11:31:02.110070571,19493.97,No
CUST00078,2023-01-20,35,42,North,Basic,Monthly,666.78,0.0,Yes,7,0,21.6,2.7,2025-12-20 00:19:04.971298991,23890.49,No
CUST00079,2024-05-31,19,38,West,Premium,Annual,1689.64,0.0,No,1,0,16.8,3.7,2025-12-14 03:15:19.550591502,31572.05,No
CUST00080,2025-02-26,10,18,West,Standard,Monthly,1063.13,0.0,No,0,2,38.9,4.4,2025-12-30 00:00:00.000000000,10556.41,No
CUST00081,2023-02-03,34,36,West,Standard,Monthly,1078.75,0.0,No,2,2,40.8,3.7,2025-12-05 20:46:40.334088121,37049.13,No
CUST00082,2023-05-04,31,28,North,Premium,Monthly,2118.43,0.0,Yes,2,1,20.5,3.1,2025-12-11 09:24:23.926196952,67258.99,No
CUST00083,2023-10-14,26,31,Central,Standard,Monthly,956.38,0.0,Yes,1,0,25.8,3.8,2025-12-20 01:25:39.290074326,24756.08,No
CUST00084,2024-11-28,13,28,East,Basic,Annual,629.19,0.0,No,2,0,35.6,4.3,2025-12-15 11:33:24.448711033,8603.78,No
CUST00085,2025-01-11,11,34,Central,Standard,Annual,1163.01,0.0,Yes,0,0,36.8,4.3,2025-12-18 13:38:12.742932912,13740.64,No
CUST00086,2025-04-21,8,37,North,Basic,Monthly,599.86,0.0,No,4,1,39.6,2.4,2025-12-21 10:48:24.450583398,4702.89,No
CUST00087,2025-06-14,6,26,West,Basic,Monthly,559.48,0.0,Yes,2,0,46.7,3.4,2025-12-18 10:37:21.999490107,3242.31,No
CUST00088,2024-02-20,22,40,Central,Basic,Monthly,476.94,0.05,No,1,1,36.2,2.8,2025-12-18 09:04:40.386045418,10682.01,No
CUST00089,2023-05-11,31,53,South,Premium,Quarterly,2124.98,0.0,Yes,2,0,23.9,3.0,2025-12-04 13:22:55.263860743,67692.84,No
CUST00090,2023-03-25,33,32,West,Basic,Annual,858.85,0.0,Yes,4,1,36.3,2.8,2025-12-16 19:01:29.262341534,29058.13,Yes
CUST00091,2024-02-07,22,49,East,Standard,Monthly,1167.41,0.0,No,3,0,31.4,4.1,2025-12-18 21:13:29.705896344,25585.38,No
CUST00092,2023-01-22,35,33,West,Basic,Monthly,728.98,0.0,No,4,0,30.8,2.3,2025-12-15 23:12:41.160464136,25017.1,No
CUST00093,2024-09-23,15,30,West,Premium,Annual,1991.38,0.0,Yes,4,1,26.9,3.3,2025-12-03 01:25:39.006274129,31843.51,Yes
CUST00094,2024-08-02,16,25,West,Standard,Quarterly,1260.55,0.0,Yes,2,1,17.4,4.4,2025-12-29 01:21:10.139155872,18965.3,No
CUST00095,2023-07-23,29,47,Central,Standard,Monthly,1197.56,0.05,Yes,6,0,12.4,3.1,2025-12-28 01:18:20.846385386,34427.06,No
CUST00096,2023-02-17,34,32,South,Standard,Quarterly,1201.6,0.05,Yes,1,1,38.4,3.7,2025-12-12 15:37:53.042626152,41273.75,No
CUST00097,2025-02-23,10,26,Central,Basic,Monthly,653.07,0.0,Yes,0,0,50.8,4.1,2025-12-22 01:14:39.273718926,6151.23,No
CUST00098,2024-06-08,18,44,East,Standard,Annual,1099.69,0.0,Yes,3,0,28.1,3.0,2025-12-21 06:23:45.120620712,20464.4,No
CUST00099,2023-12-16,24,31,West,Premium,Monthly,1981.43,0.0,No,3,1,31.4,3.8,2025-12-26 10:21:06.608395913,45577.4,No
CUST00100,2023-04-18,32,37,South,Standard,Monthly,1189.2,0.0,Yes,2,1,43.0,5.0,2025-12-20 16:38:02.795065199,38948.17,No
CUST00101,2025-01-15,11,18,Central,Standard,Annual,1019.61,0.0,Yes,1,2,24.2,3.3,2025-12-19 00:37:04.900387210,11082.26,No
CUST00102,2024-01-29,23,26,Central,Basic,Annual,603.7,0.0,No,4,0,40.9,1.1,2025-12-22 19:23:59.017798378,14390.02,No
CUST00103,2025-04-24,8,30,South,Standard,Annual,1422.66,0.1,No,0,2,35.6,5.0,2025-12-13 05:48:14.911338344,12040.2,No
CUST00104,2025-04-15,8,40,South,Standard,Monthly,1108.79,0.0,No,1,0,24.8,4.4,2025-12-12 14:25:59.525017202,7968.03,No
CUST00105,2024-09-14,15,39,East,Standard,Annual,1262.57,0.0,Yes,3,0,19.9,4.0,2025-12-24 08:01:06.473182248,18040.47,No
CUST00106,2024-10-16,14,36,Central,Standard,Monthly,1247.87,0.1,Yes,3,1,23.1,1.4,2025-12-07 15:25:33.669566058,16638.03,No
CUST00107,2024-09-28,15,28,Central,Standard,Monthly,1156.26,0.0,Yes,2,0,40.3,5.0,2025-12-30 00:00:00.000000000,17318.42,No
CUST00108,2023-10-04,26,47,East,Standard,Quarterly,1326.91,0.1,Yes,4,0,37.3,3.8,2025-12-11 17:47:49.152219386,35375.19,No
CUST00109,2023-11-06,25,32,East,Basic,Annual,625.23,0.0,Yes,2,1,22.5,3.7,2025-12-23 17:35:33.532497056,15808.02,No
CUST00110,2025-06-30,6,31,South,Basic,Annual,989.52,0.0,Yes,4,0,35.3,5.0,2025-12-14 09:27:26.830681860,6055.26,No
CUST00111,2025-04-07,8,19,North,Premium,Quarterly,1731.82,0.05,No,2,0,36.7,4.2,2025-12-15 21:29:46.205181537,13803.2,No
CUST00112,2023-02-05,34,42,East,Premium,Annual,1994.8,0.05,Yes,3,1,21.8,3.8,2025-12-21 15:03:19.695265238,69174.23,No
CUST00113,2025-03-27,9,43,North,Basic,Monthly,771.74,0.1,Yes,1,0,21.2,3.1,2025-12-18 21:38:47.671725063,6637.13,No
CUST00114,2023-09-18,27,46,South,Standard,Monthly,1179.71,0.1,No,0,0,16.7,4.1,2025-12-12 07:36:02.234234339,32984.47,No
CUST00115,2025-03-22,9,27,South,Basic,Annual,635.71,0.1,Yes,4,1,30.9,2.6,2025-12-28 22:10:11.058434288,5324.78,No
CUST00116,2024-04-01,20,47,Central,Standard,Monthly,1017.14,0.0,Yes,5,2,8.3,4.2,2025-12-30 00:00:00.000000000,19861.09,No
CUST00117,2024-04-19,20,38,North,Basic,Monthly,639.45,0.0,Yes,2,1,29.5,3.9,2025-12-09 12:52:36.357984457,12936.54,No
CUST00118,2025-02-01,10,18,West,Standard,Quarterly,1264.97,0.0,No,6,0,28.1,3.9,2025-12-16 12:44:43.700762049,13808.18,No
CUST00119,2024-07-20,17,35,Central,Standard,Monthly,1313.69,0.1,Yes,1,0,34.1,1.6,2025-12-30 00:00:00.000000000,22511.99,No
CUST00120,2024-07-09,17,29,East,Standard,Annual,1310.76,0.05,Yes,3,0,35.9,2.7,2025-12-09 20:44:59.171885797,22250.39,No
CUST00121,2023-08-04,28,40,East,Basic,Annual,830.22,0.05,No,2,2,17.3,2.4,2025-11-30 21:39:08.120484608,23745.54,No
CUST00122,2024-03-10,21,24,East,Standard,Monthly,1205.86,0.05,Yes,1,2,39.2,2.9,2025-12-24 10:05:42.795492162,24447.3,No
CUST00123,2023-02-09,34,21,West,Basic,Annual,683.35,0.05,Yes,1,1,42.3,4.1,2025-12-04 11:10:23.784592717,23452.78,No
CUST00124,2023-05-12,31,30,North,Standard,Monthly,1369.32,0.0,Yes,3,0,43.5,3.3,2025-11-29 06:24:35.547184829,41251.31,Yes
CUST00125,2024-02-18,22,58,East,Premium,Annual,1953.85,0.0,No,7,1,36.0,3.2,2025-12-13 23:03:45.475327423,41697.37,No
CUST00126,2025-06-27,6,29,North,Premium,Annual,1627.3,0.0,Yes,2,1,29.1,2.6,2025-12-15 15:08:53.350988813,9006.85,No
CUST00127,2024-04-05,20,28,Central,Standard,Annual,722.79,0.05,No,4,0,25.4,3.7,2025-12-30 00:00:00.000000000,15004.69,No
CUST00128,2025-04-27,8,25,West,Standard,Monthly,1361.16,0.05,Yes,2,0,22.7,4.3,2025-12-24 16:27:49.131467865,10748.23,No
CUST00129,2025-03-08,9,18,South,Basic,Quarterly,667.94,0.1,No,2,0,41.3,4.7,2025-12-30 00:00:00.000000000,5929.15,No
CUST00130,2024-10-10,14,25,East,Basic,Annual,714.98,0.0,No,1,1,24.0,3.2,2025-12-30 00:00:00.000000000,9721.41,No
CUST00131,2024-07-20,17,41,Central,Standard,Monthly,914.38,0.0,No,1,0,40.6,3.5,2025-12-18 17:54:12.326808854,15457.66,No
CUST00132,2024-11-09,13,20,Central,Basic,Monthly,735.98,0.15,Yes,1,1,32.3,4.8,2025-12-18 15:54:30.696811290,9836.46,No
CUST00133,2024-01-09,23,27,West,Basic,Annual,756.11,0.0,Yes,4,0,37.6,3.6,2025-12-07 01:36:37.915787918,17059.84,No
CUST00134,2024-12-11,12,29,North,Premium,Monthly,2112.54,0.0,Yes,2,0,26.3,4.0,2025-12-27 16:55:33.703106901,26688.35,No
CUST00135,2024-10-23,14,39,Central,Standard,Monthly,949.04,0.05,No,3,3,59.2,4.8,2025-12-24 05:39:05.776632170,12745.92,No
CUST00136,2023-02-14,34,33,West,Standard,Annual,1247.45,0.0,No,0,1,12.3,4.0,2025-12-30 00:00:00.000000000,43041.3,No
CUST00137,2024-10-09,14,30,East,Basic,Monthly,843.92,0.0,No,3,0,21.0,2.9,2025-12-18 06:10:17.464484067,11208.45,No
CUST00138,2024-12-22,12,53,Central,Premium,Quarterly,1941.27,0.0,Yes,3,0,15.9,5.0,2025-12-12 08:48:57.263200270,22809.16,No
CUST00139,2024-05-10,19,49,West,Standard,Monthly,1328.53,0.0,Yes,2,0,24.1,4.2,2025-12-03 18:58:00.902063557,25175.89,No
CUST00140,2023-07-17,29,40,West,Standard,Quarterly,987.71,0.0,Yes,1,1,16.5,4.2,2025-12-13 06:45:35.786975930,29314.53,No
CUST00141,2023-04-11,32,25,South,Premium,Annual,1887.17,0.05,Yes,1,0,16.9,4.6,2025-12-24 22:04:21.706282175,60666.12,No
CUST00142,2023-06-30,30,34,South,Basic,Annual,580.97,0.05,Yes,6,0,27.3,3.3,2025-12-17 22:07:11.151139521,17523.86,No
CUST00143,2023-06-19,30,18,North,Standard,Monthly,1361.19,0.1,No,1,0,32.8,3.0,2025-12-13 14:30:00.305644799,41432.34,No
CUST00144,2023-01-30,35,18,Central,Standard,Monthly,1182.75,0.0,Yes,2,3,39.4,1.8,2025-12-25 18:37:11.629526604,40720.92,No
CUST00145,2023-10-10,26,25,North,Basic,Monthly,737.49,0.0,Yes,3,0,27.8,3.5,2025-11-30 12:37:29.586568694,19282.48,Yes
CUST00146,2025-04-12,8,32,North,Basic,Quarterly,755.88,0.0,Yes,4,0,15.0,3.2,2025-12-18 07:19:22.276076846,6100.9,No
CUST00147,2025-02-03,10,38,West,Premium,Quarterly,1626.27,0.0,No,5,2,16.1,1.9,2025-12-14 22:26:37.912964888,17865.91,No
CUST00148,2023-07-10,29,30,North,Basic,Quarterly,632.28,0.0,No,0,0,27.7,2.8,2025-12-11 08:12:24.741007877,18801.62,No
CUST00149,2024-12-27,12,18,West,Basic,Annual,957.97,0.1,No,1,1,16.4,3.7,2025-12-14 10:23:43.785081102,11780.13,No
CUST00150,2025-01-08,11,32,North,Standard,Annual,1407.55,0.05,No,3,1,39.5,3.6,2025-12-17 13:26:17.944888745,15502.3,No
CUST00151,2023-01-13,35,32,North,Premium,Annual,1955.13,0.05,No,1,0,40.3,4.9,2025-12-19 17:54:46.538657471,69232.66,No
CUST00152,2024-10-08,14,39,Central,Standard,Monthly,1344.35,0.05,Yes,4,0,31.5,3.8,2025-12-24 13:45:41.435843858,18472.17,No
CUST00153,2024-05-03,19,43,West,Standard,Monthly,1204.24,0.0,No,0,1,30.6,3.8,2025-12-22 01:43:42.290440954,22319.82,No
CUST00154,2024-03-19,21,39,West,Standard,Monthly,1109.18,0.0,No,2,0,15.4,3.5,2025-12-24 10:28:12.730432037,23276.63,No
CUST00155,2023-04-17,32,47,North,Standard,Quarterly,1330.18,0.0,Yes,3,0,33.0,4.7,2025-12-20 06:26:39.767272164,41375.38,No
CUST00156,2024-09-14,15,39,West,Standard,Monthly,1179.62,0.0,Yes,0,1,18.4,4.6,2025-12-08 14:48:55.229958651,18681.49,Yes
CUST00157,2025-06-03,6,34,East,Premium,Monthly,1788.87,0.0,Yes,2,2,16.1,4.6,2025-12-19 03:14:36.635954416,12354.21,No
CUST00158,2024-05-12,19,44,West,Standard,Quarterly,1348.12,0.0,Yes,1,0,43.5,4.1,2025-12-22 17:03:35.097793935,24652.54,No
CUST00159,2023-12-16,24,37,East,Standard,Quarterly,1142.46,0.0,Yes,1,1,26.2,5.0,2025-12-29 06:50:52.561759203,28188.11,No
CUST00160,2024-05-01,20,18,East,Premium,Monthly,2146.86,0.05,Yes,1,0,25.0,4.3,2025-12-21 10:17:24.208510356,41236.58,No
CUST00161,2023-08-23,28,41,East,Standard,Monthly,1449.06,0.0,No,1,1,32.9,3.8,2025-12-12 03:34:42.131271761,41724.16,Yes
CUST00162,2024-06-13,18,40,South,Basic,Monthly,904.27,0.0,Yes,3,0,29.3,4.6,2025-11-30 04:19:28.434807069,16717.38,No
CUST00163,2023-01-06,35,24,North,Basic,Monthly,850.42,0.05,No,3,1,8.9,3.5,2025-12-17 20:15:01.677207393,30567.26,No
CUST00164,2025-04-27,8,43,West,Standard,Monthly,1267.02,0.0,Yes,2,1,26.6,3.3,2025-11-23 01:08:42.189511080,10284.67,Yes
CUST00165,2023-02-19,34,22,East,Standard,Annual,1127.37,0.0,Yes,5,1,32.7,3.0,2025-12-29 19:19:01.389906241,39364.75,No
CUST00166,2024-03-14,21,54,West,Standard,Monthly,1252.24,0.0,Yes,1,1,15.2,4.1,2025-12-20 22:57:00.018844981,25278.57,No
CUST00167,2023-11-29,25,18,West,Basic,Monthly,661.64,0.0,Yes,2,1,38.6,2.8,2025-11-22 04:27:27.194653631,16499.05,Yes
CUST00168,2024-09-09,15,38,South,Basic,Quarterly,730.27,0.0,Yes,0,1,19.4,2.6,2025-12-12 20:41:53.586120573,10452.64,No
CUST00169,2023-07-02,29,27,North,Standard,Monthly,1269.94,0.0,Yes,3,0,11.4,2.9,2025-12-28 11:14:18.399906514,35859.09,No
CUST00170,2024-11-18,13,30,Central,Standard,Monthly,984.71,0.15,Yes,2,0,16.9,4.5,2025-12-28 22:37:17.045393137,13287.53,No
CUST00171,2024-02-26,22,40,South,Basic,Quarterly,726.66,0.0,Yes,1,0,22.0,3.2,2025-12-18 07:18:12.128368225,15414.72,No
CUST00172,2024-08-22,16,41,South,Standard,Quarterly,1301.69,0.0,Yes,0,1,18.5,3.3,2025-12-15 04:07:31.328284466,20351.78,No
CUST00173,2024-10-23,14,43,South,Premium,Monthly,1869.47,0.0,Yes,2,1,29.7,2.9,2025-12-16 18:49:12.125233952,24691.39,No
CUST00174,2023-09-18,27,46,North,Standard,Monthly,1482.45,0.1,Yes,3,1,22.9,2.3,2025-12-18 03:05:37.742966952,38577.23,No
CUST00175,2024-04-20,20,23,Central,Premium,Monthly,1888.7,0.0,No,0,0,38.1,4.1,2025-12-21 00:25:30.142180892,37698.13,No
CUST00176,2024-08-11,16,32,East,Standard,Monthly,1164.16,0.0,Yes,3,1,17.0,4.6,2025-12-05 01:35:43.970358495,18014.25,No
CUST00177,2023-08-22,28,31,South,Standard,Monthly,937.09,0.05,Yes,3,0,27.3,2.7,2025-12-16 06:21:53.784707087,26246.25,No
CUST00178,2023-11-28,25,34,Central,Premium,Quarterly,1817.63,0.0,No,2,1,27.0,2.7,2025-12-06 16:51:06.082872705,45718.82,No
CUST00179,2025-02-13,10,18,East,Standard,Monthly,1406.14,0.1,No,1,0,20.8,4.7,2025-12-17 22:47:44.466057298,14440.14,No
CUST00180,2025-06-07,6,45,West,Standard,Monthly,1255.96,0.05,Yes,2,0,25.0,2.5,2025-11-29 22:13:55.315215072,7233.37,Yes
CUST00181,2023-08-14,28,39,South,Standard,Monthly,1212.25,0.0,Yes,5,0,18.7,2.9,2025-11-23 14:43:28.537985116,33247.26,Yes
